id	family	commonName	otherName
Abeillia abeillei	Trochilidae	Emerald-chinned Hummingbird	NULL
Abroscopus albogularis	Cettiidae	Rufous-faced Warbler	NULL
Abroscopus schisticeps	Cettiidae	Black-faced Warbler	NULL
Abroscopus superciliaris	Cettiidae	Yellow-bellied Warbler	NULL
Aburria aburri	Cracidae	Wattled Guan	NULL
Acanthagenys rufogularis	Meliphagidae	Spiny-cheeked Honeyeater	NULL
Acanthidops bairdi	Thraupidae	Peg-billed Finch	NULL
Acanthis cabaret	Fringillidae	Lesser Redpoll	NULL
Acanthis flammea	Fringillidae	Common Redpoll	NULL
Acanthis hornemanni	Fringillidae	Arctic Redpoll	NULL
Acanthisitta chloris	Acanthisittidae	Rifleman	NULL
Acanthiza apicalis	Acanthizidae	Inland Thornbill	NULL
Acanthiza chrysorrhoa	Acanthizidae	Yellow-rumped Thornbill	NULL
Acanthiza cinerea	Acanthizidae	Grey Thornbill	NULL
Acanthiza ewingii	Acanthizidae	Tasmanian Thornbill	NULL
Acanthiza inornata	Acanthizidae	Western Thornbill	NULL
Acanthiza iredalei	Acanthizidae	Slender-billed Thornbill	NULL
Acanthiza katherina	Acanthizidae	Mountain Thornbill	NULL
Acanthiza lineata	Acanthizidae	Striated Thornbill	NULL
Acanthiza murina	Acanthizidae	New Guinea Thornbill	NULL
Acanthiza nana	Acanthizidae	Yellow Thornbill	NULL
Acanthiza pusilla	Acanthizidae	Brown Thornbill	NULL
Acanthiza reguloides	Acanthizidae	Buff-rumped Thornbill	NULL
Acanthiza robustirostris	Acanthizidae	Slaty-backed Thornbill	NULL
Acanthiza uropygialis	Acanthizidae	Chestnut-rumped Thornbill	NULL
Acanthorhynchus superciliosus	Meliphagidae	Western Spinebill	NULL
Acanthorhynchus tenuirostris	Meliphagidae	Eastern Spinebill	NULL
Acanthornis magna	Acanthizidae	Scrubtit	NULL
Accipiter albogularis	Accipitridae	Pied Goshawk	NULL
Accipiter badius	Accipitridae	Shikra	NULL
Accipiter bicolor	Accipitridae	Bicolored Hawk	NULL
Accipiter brachyurus	Accipitridae	New Britain Sparrowhawk	NULL
Accipiter brevipes	Accipitridae	Levant Sparrowhawk	NULL
Accipiter butleri	Accipitridae	Nicobar Sparrowhawk	NULL
Accipiter castanilius	Accipitridae	Chestnut-flanked Sparrowhawk	NULL
Accipiter chilensis	Accipitridae	Chilean Hawk	NULL
Accipiter chionogaster	Accipitridae	White-breasted Hawk	NULL
Accipiter cirrocephalus	Accipitridae	Collared Sparrowhawk	NULL
Accipiter cooperii	Accipitridae	Cooper's Hawk	NULL
Accipiter erythrauchen	Accipitridae	Rufous-necked Sparrowhawk	NULL
Accipiter erythronemius	Accipitridae	Rufous-thighed Hawk	NULL
Accipiter erythropus	Accipitridae	Red-thighed Sparrowhawk	NULL
Accipiter fasciatus	Accipitridae	Brown Goshawk	NULL
Accipiter francesiae	Accipitridae	Frances's Sparrowhawk	NULL
Accipiter gentilis	Accipitridae	Northern Goshawk	NULL
Accipiter griseiceps	Accipitridae	Sulawesi Goshawk	NULL
Accipiter gularis	Accipitridae	Japanese Sparrowhawk	NULL
Accipiter gundlachi	Accipitridae	Gundlach's Hawk	NULL
Accipiter haplochrous	Accipitridae	White-bellied Goshawk	NULL
Accipiter henicogrammus	Accipitridae	Moluccan Goshawk	NULL
Accipiter henstii	Accipitridae	Henst's Goshawk	NULL
Accipiter hiogaster	Accipitridae	Variable Goshawk	NULL
Accipiter imitator	Accipitridae	Imitator Goshawk	NULL
Accipiter luteoschistaceus	Accipitridae	Slaty-mantled Goshawk	NULL
Accipiter madagascariensis	Accipitridae	Madagascar Sparrowhawk	NULL
Accipiter melanochlamys	Accipitridae	Black-mantled Goshawk	NULL
Accipiter melanoleucus	Accipitridae	Black Sparrowhawk	NULL
Accipiter meyerianus	Accipitridae	Meyer's Goshawk	NULL
Accipiter minullus	Accipitridae	Little Sparrowhawk	NULL
Accipiter nanus	Accipitridae	Dwarf Sparrowhawk	NULL
Accipiter nisus	Accipitridae	Eurasian Sparrowhawk	NULL
